phi,V,sigma,residual
0.0,-0.7839242657326971,0.08520459905093103,-0.19105957944766827
0.0023232323232323234,-0.7105679116310236,0.08208943119622636,-0.1463606723078248
0.004646464646464647,-0.6602272554870413,0.07804209510374487,-0.12900211657699334
0.00696969696969697,-0.5230561797109643,0.07379608355481121,-0.02751844765192174
0.009292929292929294,-0.5011727983839094,0.06957992066077877,-0.04442896015693165
0.011616161616161618,-0.4153634248091505,0.06553483162299895,-0.000422982294514318
0.01393939393939394,-0.31065534486157326,0.061771688230602695,0.059467412581605705
0.016262626262626263,-0.2514461226415533,0.05838890573365813,0.07086477138845149
0.018585858585858588,-0.21401633557160907,0.05547809296582682,0.057651176509201346
0.020909090909090912,-0.20341479177500127,0.053123340207763235,0.015180950983977703
0.023232323232323236,-0.1577789178602823,0.05139609393212284,0.0055372257488552346
0.025555555555555557,-0.10006397930182147,0.05034736826849012,0.006033105924789214
0.02787878787878788,-0.016952192265059046,0.0500000057865557,0.030219541780202284
0.030202020202020206,0.0561918370943084,0.050344306118482465,0.0432354896499977
0.032525252525252527,0.06658742968256401,0.05133936390881938,-0.007536706351876768
0.03484848484848485,0.1133193535217003,0.05291998166241755,-0.022173539452414487
0.037171717171717175,0.24610430726420585,0.05500665502323508,0.04920835825812578
0.0394949494949495,0.1777572279769904,0.05751542662975098,-0.07998569876806955
0.041818181818181824,0.3275404358520043,0.06036542170187132,0.009835739030028823
0.04414141414141415,0.4182025355026433,0.06348336213028877,0.041633657128057944
0.04646464646464647,0.37722787112517575,0.0668055232186269,-0.05647173550604495
0.04878787878787879,0.4156452094662255,0.07027795013013026,-0.07378917214533032
0.051111111111111114,0.4873915885479459,0.07385569273056872,-0.05541073476670816
0.05343434343434344,0.6423807294832068,0.07750166420413061,0.04792039837490891
0.05575757575757576,0.6290740111257302,0.08118538078321337,-0.014916532078278033
0.05808080808080809,0.527229389445266,0.08488179770381021,-0.164112889052751
0.06040404040404041,0.6935785601299095,0.08857032566727524,-0.04302908596806587
0.06272727272727273,0.8685707668870092,0.09223395964124725,0.08872906819922188
0.06505050505050505,0.9121529047744046,0.09585861058014303,0.09079421736767102
0.06737373737373738,0.9221133463457611,0.09943253828994167,0.061340447460431435
0.0696969696969697,0.8753740705143698,0.10294592126158893,-0.02347600209434686
0.07202020202020203,0.7428079109993717,0.10639049499140417,-0.19234775572901497
0.07434343434343435,0.9957050469538365,0.10975925497292542,0.025534661030123806
0.07666666666666667,0.9939829757535992,0.113046263497409,-0.009704569062230606
0.078989898989899,1.058367296266117,0.11624643838506576,0.02220075817799705
0.08131313131313132,1.2678588122193917,0.11935541195362025,0.20053595806418212
0.08363636363636365,1.1393603799986596,0.12236943749033251,0.04188170920103218
0.08595959595959597,1.183376164533782,0.12528525287014852,0.05681417881428863
0.0882828282828283,1.256903544997945,0.12810004014055468,0.10206590051798958
0.09060606060606062,1.175222550857035,0.13081132901059253,-0.00688533845611361
0.09292929292929294,1.1482987722284188,0.13341696421542348,-0.06002391525548023
0.09525252525252526,1.163619627833554,0.13591508009605308,-0.0703524780625926
