Lambda,phi_a,sigma_a,alpha,phi_b,sigma_b,weight
2.8244424468675233,-0.07862691645948909,0.04925124088419566,2.725281673122651,0.039748539213741496,0.09700314005738575,0.0
2.920660642139058,-0.06062101777856073,0.008809789746733406,2.4731099222180335,0.03999869601292419,0.061239908678735126,0.0
2.9529012763577565,-0.028100093331876838,0.02112215446992719,2.5273754086533367,0.0795540809587993,0.09417838408894094,0.0
2.654292333328732,-0.018977113424368988,0.04160944502198605,2.7385935437898277,0.07792746612764405,0.10189352008259296,0.0
2.8536827813179326,-0.10561181545918764,0.15075776430176568,2.6937875722348887,0.06937255355937863,0.08093026197763746,0.0
2.675680161056189,-0.05559182543451493,0.010786217541019499,2.8777953217725165,0.03647590402581128,0.032926614672425594,0.0
2.4399692895167804,-0.08500362439743366,0.05215392218051733,2.7677813380335734,0.08128789452813506,0.11044746748871877,0.0
2.8680715679378457,-0.03951362452853169,0.12282001592274784,2.5803023614608596,0.061640131801638104,0.09162759774346158,0.0
2.507853941079355,-0.06137744238442726,0.09105592383567111,2.495876279246369,0.05600318906473006,0.13020073527144257,0.0
2.6096972655364428,-0.09086551284280582,0.01261930341040438,2.53346293612832,0.11261226815336797,0.130798960634585,0.0
3.008835871574724,-0.055776045076367485,0.08002131068926667,2.6574121685987406,0.025767348002310262,0.02674381529553113,0.0
2.5790691663561596,-0.015221996860371886,0.058785176301444975,2.56486187553959,0.02967364210399391,0.10406254130828915,0.0
2.3680509115730395,-0.06596046427866284,0.0075875798160720265,2.5383011364968704,0.04647927350728483,0.08564028066899104,0.0
2.8732529701003715,-0.04649919125870412,0.007684196820654641,2.348718761475847,0.02050569028602783,0.028156517658020287,0.0
2.997874971243268,0.001929911895047251,0.023023385558692905,2.006426149389066,0.0107144769824985,0.08117799990230273,0.0
2.2562062735322863,-0.011637686383436721,0.022145174744113334,2.7042130733009206,0.020493461638756982,0.07136158420733438,0.0
3.0130495794018644,-0.10359360836231593,0.028999229795590834,1.8693036256804723,0.023854258692681093,0.03531751335417575,0.0
2.816142637285647,-0.037225264787228374,0.1358184338591009,2.3876884171773267,0.01300000404786334,0.08729421705783184,0.0
2.579749078073039,-0.07761677781704582,0.020355729856732323,2.233421008566574,0.07669995115843856,0.08984460587685968,0.0
