display_name,model,H0,Omega_m0,A,eta,n,V0tilde,phi_ini,phip_ini,zdagger_target,E0,DM,O_F,phi0,phip0,zt,zdagger,Delta_z,E0_minus_1,DM_minus_cal_Mpc,R_E0,R_DM,R_zdagger,cost,optimizer_success,optimizer_status,optimizer_message,nfev,search_nfev,final_refinement_nfev,search_cost,optimality,integration_valid,crossings_finite,parameters_at_bounds,conv_dE0,conv_dDM_Mpc,conv_dzt,conv_dzdagger,accepted,strictly_accepted,plot_phi_min,plot_phi_max,complete_phi_min,complete_phi_max,source_diagnostics,source_cache,plot_z_min,plot_z_max
$H_0=75$,offset_axion,75,0.2544661182926538,0.6354082714104604,0.2,1.0,-0.4922632730689734,0.1935596965978572,0.0,1.8,1.0000000000000004,13869.569999999989,0.0,0.6277703295920436,0.445519439279341,2.1931632321616656,1.8000000000000074,0.3931632321616582,4.440892098500626e-16,-1.2732925824820995e-11,4.440892098500626e-12,-5.0931703299284e-13,2.4424906541753444e-13,1.0020292038289632e-23,True,3,`xtol` termination condition is satisfied.,3,69,3,2.756541974783718e-27,1.2548964285079e-07,True,True,False,8.952838470577262e-13,1.0066469258163124e-07,5.411759929074833e-11,4.9824810943732694e-11,True,True,0.19355969659785727,0.723566220462809,0.19355969659785727,0.723566220462809,/Users/shaz/Desktop/Beñat/test_consistancy/paper/dynamics_final_neff3046/axion/axion_diagnostics.csv,/Users/shaz/Desktop/Beñat/test_consistancy/paper/dynamics_final_neff3046/axion/trajectories/H0_75.npz,0.0,1090.0
$H_0=73$,offset_axion,73,0.2686004720202998,1.049063447071649,0.2,1.0,-1.3387542213017447,0.2416002426057947,0.0,1.8,1.0000004101571782,13881.09518740512,0.0,0.5904497890326932,-0.2361091322903444,2.2224526930236346,1.8035684198144897,0.4188842732091451,4.101571782211267e-07,11.52518740511914,0.0041015717822112,0.4610074962047656,0.118947327149647,0.1133466005420583,True,2,`ftol` termination condition is satisfied.,13,243,13,0.1133465467509501,0.0030156988825001,True,True,False,-5.401679104011237e-12,-7.647104212082922e-07,-3.012461391449506e-10,-2.8204683033550277e-10,False,False,0.2416002426057947,0.7178964626184613,0.2416002426057947,0.7178964626184613,/Users/shaz/Desktop/Beñat/test_consistancy/paper/dynamics_final_neff3046/axion/axion_diagnostics.csv,/Users/shaz/Desktop/Beñat/test_consistancy/paper/dynamics_final_neff3046/axion/trajectories/H0_73.npz,0.0,1090.0
$H_0=71$,offset_axion,71,0.2839460256687517,1.0831608774589156,0.2,1.0,-1.4234687366837888,0.2541031044677455,0.0,1.8,1.0000025015281162,13939.62379308719,-2.220446049250313e-16,0.5927157698902418,-0.2418537658118555,2.2438877772443786,1.8198937575826624,0.423994019661716,2.5015281162055203e-06,70.05379308719057,0.0250152811620552,2.802151723487623,0.6631252527554181,4.146207573289105,True,3,`xtol` termination condition is satisfied.,14,46,14,4.146209282078302,0.0283116323875979,True,True,False,-1.2745360322696797e-13,-4.246994649292901e-07,3.9728220713186595e-11,-1.9631229974947928e-10,False,False,0.2541031044677455,0.7145029024181675,0.2541031044677455,0.7145029024181675,/Users/shaz/Desktop/Beñat/test_consistancy/paper/dynamics_final_neff3046/axion/axion_diagnostics.csv,/Users/shaz/Desktop/Beñat/test_consistancy/paper/dynamics_final_neff3046/axion/trajectories/H0_71.npz,0.0,1090.0
