phi,V,sigma,residual
0.0,-0.7839242657326971,0.08520459905093103,0.024170753993028482
0.0023983838383838385,-0.7089168094412917,0.08196565484682683,0.0020153434841185813
0.004796767676767677,-0.6564683762650364,0.0777701418993268,-0.027918151372742672
0.0071951515151515155,-0.5175363470968368,0.07338298913813104,0.03533280084000612
0.009593535353535354,-0.4933061167654316,0.06904434648228532,-0.012855696382769621
0.011991919191919193,-0.40562391644051876,0.06490438621720473,0.005751251595702833
0.014390303030303031,-0.29937035245039706,0.06108244999209636,0.04524197258070345
0.01678868686868687,-0.23818910910819166,0.057685306744924156,0.041545441184824755
0.019187070707070708,-0.19853858415720962,0.05481224149605559,0.018194434081590827
0.021585454545454547,-0.18549739114858335,0.052553009026171986,-0.0305816178328642
0.023983838383838385,-0.13801082438290568,0.05098087582035517,-0.043367447934523004
0.026382222222222224,-0.07872382774454106,0.050143181837076584,-0.04310624499819106
0.028780606060606062,0.0058448229357643475,0.0500531289234576,-0.01634097937134544
0.0311789898989899,0.08055147307614265,0.05068677155943223,0.0017447090614844396
0.03357737373737374,0.09181573775443488,0.05198719082031296,-0.04264875886775521
0.03597575757575758,0.13949350522062565,0.05387445957507659,-0.04956386865453738
0.038374141414141416,0.2750594596483458,0.05625765713083722,0.03250758683461652
0.040772525252525255,0.20472914672091053,0.05904534452774325,-0.09019261882177915
0.04317090909090909,0.3581766744414988,0.06215260404073196,0.012022744468664026
0.04556929292929293,0.4510790779168381,0.06550465477778601,0.054621937339544124
0.04796767676767677,0.40802226194652813,0.06903787075541229,-0.03769922171413492
0.05036606060606061,0.446837319429009,0.0726992590035074,-0.047151933186652895
0.05276444444444445,0.5201164229679885,0.07644525631260649,-0.021042807339991754
0.055162828282828286,0.6795718216698058,0.08024022406190294,0.09215801537951018
0.057561212121212124,0.6647541197844822,0.08405510339410496,0.03217865569362566
0.05995959595959596,0.558253185857144,0.08786614677159278,-0.11837857846159916
0.0623579797979798,0.7293411466663712,0.09165387376127566,0.009664975198744208
0.06475636363636364,0.9092300424785064,0.09540227798511168,0.1476334920375757
