phi,q025,q16,q50,q84,q975
0.0,-0.6426783981029067,-0.619096755360919,-0.5933129522131669,-0.5664767917271772,-0.5393096971675486
0.00023023023023023025,-0.6396006806890563,-0.6160694172436347,-0.5904788744972108,-0.5637493790948583,-0.5367941906872296
0.0004604604604604605,-0.636556500747889,-0.6130488986729529,-0.5876250665023475,-0.561003749580484,-0.5343145514850197
0.0006906906906906907,-0.6334283704733963,-0.6099834809390556,-0.5847042169321913,-0.5582327993426084,-0.5317606870018171
0.000920920920920921,-0.6302600554013512,-0.6068588421296853,-0.58174656809074,-0.5554464140092896,-0.5291256514775967
0.0011511511511511513,-0.6270000352630118,-0.603795576325513,-0.5787767856836893,-0.5527103435875834,-0.5265474850161259
0.0013813813813813814,-0.623706828008881,-0.6006858311554508,-0.5757828936089373,-0.5498344696517019,-0.5240310313363707
0.0016116116116116118,-0.6205780112896009,-0.5974528739944909,-0.5727849600904565,-0.5470031063767877,-0.52146251353973
0.001841841841841842,-0.6173217337805295,-0.5942322601886588,-0.5697462427832977,-0.5441386171677267,-0.5187529221418581
0.002072072072072072,-0.6140153863341611,-0.5910272824089392,-0.5666938823762024,-0.5412972385532956,-0.5160921031351781
0.0023023023023023025,-0.6106240077613212,-0.5878172981287669,-0.563628121076219,-0.538329702643621,-0.5133586841377157
0.002532532532532533,-0.6072788920055462,-0.5845375771030729,-0.5605206712973166,-0.535419394564932,-0.5106074055397098
0.002762762762762763,-0.6037909220998967,-0.5812207992986874,-0.5573562504221683,-0.532461567367332,-0.5078117095617324
0.0029929929929929933,-0.6003283985659958,-0.5778994602123776,-0.5541837833655808,-0.529465303207121,-0.5049931730093579
0.0032232232232232236,-0.5968832788115153,-0.5745006868166203,-0.5509763679280112,-0.5264383840160747,-0.5021221367847111
0.0034534534534534536,-0.593418161046345,-0.5710804339422437,-0.5477577896835585,-0.5233627177023646,-0.4991425438295354
0.003683683683683684,-0.5898501923772567,-0.5676925759131456,-0.5444734254397517,-0.5202670920704017,-0.4961196182591937
0.003913913913913914,-0.5863264876236444,-0.5642350559856595,-0.5412044374745048,-0.5171203636258235,-0.4931104253700258
0.004144144144144144,-0.5828050218691022,-0.5607569211242336,-0.5379094579815806,-0.5139744530312615,-0.4901611913428174
0.004374374374374375,-0.5791173214450235,-0.5573170540063491,-0.5345716684740816,-0.510733413140016,-0.4872681127326861
0.004604604604604605,-0.5754729336235354,-0.5537426578811214,-0.5311717100601353,-0.5075052996199083,-0.484344196315978
0.0048348348348348355,-0.5717956465510436,-0.5501863776005992,-0.5277819272477298,-0.504224172906049,-0.48142364761410084
0.005065065065065066,-0.5681795400692017,-0.5466540469009641,-0.5243627186804012,-0.5008919962570909,-0.4782687717979635
0.005295295295295295,-0.5645178458355088,-0.5430979075912753,-0.5208987527469886,-0.49761934495610904,-0.4752669369124936
