Lambda,phi_a,sigma_a,alpha,phi_b,sigma_b,weight
1.5045886040275585,-0.16284933558105533,0.031618489873570674,2.8994888877467537,0.10647840623559289,0.16449053153459223,0.0
1.565370032713044,-0.18352404080319892,0.17542191559150494,2.965662726469083,0.14476260802321886,0.1586912511620153,0.0
1.714080256235546,0.03409513315191809,0.035166553558164525,2.724214122490419,0.09973080626966088,0.1444494430741317,0.0
1.5922382638582318,-0.044870358741296884,0.029213267474347257,2.9916447072733106,0.05086879843803566,0.09801532285156425,0.0
1.6848643628302213,-0.10238031865372779,0.03682725104167969,2.7622929590371688,0.0862121225376153,0.06439086537493209,0.0
1.5285988717780834,-0.16111450578524233,0.02812629022907559,2.7899426289543108,0.23693751911358443,0.19649102670711874,0.0
1.6916725030549171,-0.18314261509518684,0.034877190660676474,2.0152569342161453,0.03141378167125529,0.20177369911597157,0.0
1.5214487394080642,-0.16082133280355893,0.014844389872350903,2.846560986539694,0.07590681312796285,0.07404890949533668,0.0
1.7222936891633165,-0.08979203189225657,0.25135459162186236,2.5539757203777604,0.0777246503773241,0.11229693775445371,0.0
1.705955226193066,0.0009450227126197863,0.015895004717558482,2.8133862584913816,0.2647639937011387,0.15993437539743338,0.0
1.5230863975643731,-0.1436825807174234,0.10875381804603787,2.2408429887895704,0.06211989475835868,0.17040143163741484,0.0
1.3763839429011793,-0.027728584192750483,0.03623997315870483,2.4955413957520025,0.04961645506425697,0.1830818060012562,0.0
1.732124330477681,-0.0268679963747826,0.08518235951151375,2.5859082280720926,0.0025063468631965537,0.13313724856983802,0.0
1.6637072634406966,-0.044239024682914574,0.029869889251597243,1.675216656253655,0.08638742628387562,0.1985748507301362,0.0
1.6709436755875786,-0.1295436279267238,0.12289056846001113,2.1460814902029544,0.09220418788840327,0.09046678021965943,0.0
1.4218775491447335,-0.05617383646128454,0.2628645975316024,2.66793496570944,0.09361550015117193,0.1989488954933921,0.0
1.4973981841186035,-0.013052297875994379,0.04056183198075707,2.504309882887748,0.15434888926473853,0.13681561389356445,0.0
1.5300418400436469,0.024703755443876263,0.1294259467405797,2.7145521205328906,0.1379730944845704,0.1533080603558598,0.0
1.7209187211681698,-0.011522676157923684,0.12163247925524141,2.4835434625037602,0.21823041559731582,0.15871770125450296,0.0
1.2177703810507183,0.005152053543827306,0.014153259770726935,2.9771727201897256,0.056404081776889874,0.12941699312689398,0.0
1.3497130192972495,-0.11450878177232718,0.041022539487553945,2.9919826142436223,0.02966784239592573,0.09721348229952029,0.0
1.271295623319926,-0.1487944993289536,0.025402356588989,2.6389844716778534,0.0808751114500624,0.13097560577458559,0.0
1.293260332875763,-0.055344045336176845,0.012453042976839421,2.4793840932498155,0.172074805712677,0.20669906488709405,0.0
1.3118869606286445,-0.15961746775235658,0.04238999908445396,2.635416688761013,0.17604090762987917,0.172071864753251,0.0
1.6685401217931384,-0.11563412690929481,0.019164110705023437,1.7670540917916076,0.003562439076290185,0.1987831272935352,0.0
1.5527360691010552,-0.1443594689733212,0.09998385443962533,2.0935614826453457,0.060029700056275656,0.09653043146607354,0.0
1.7059136879440764,-0.15453989248547964,0.2084827309802166,2.239495639848756,0.21062148978505726,0.1520088514386099,0.0
1.6897279811534158,0.088536700696426,0.09446578588092149,2.721990018877234,0.028585797705116763,0.2006272494969778,0.0
1.63710607803763,-0.028218638848526517,0.02048942485688881,2.6278415301440234,0.09217519122765166,0.04528337172387362,0.0
1.4416582809413847,-0.05791023219595692,0.05486683912011711,2.798948880277242,0.08732027926502828,0.05638789986549599,0.0
1.6031670767319859,-0.07406656132174706,0.012148894907774712,1.5329277487867259,0.08621088465384352,0.20867474263444127,0.0
1.307282762190349,-0.01577561043201267,0.013094571892869297,2.469289956805621,0.10025085697638905,0.11783860941378545,0.0
1.5224195349944218,-0.015575411388447646,0.018959558506911153,1.7718077915737012,0.06369701502548555,0.17582252633904585,0.0
1.0565251181766526,-0.17373803282090863,0.016441145180497344,2.8404091798195603,0.11359991997283399,0.21279829156666313,0.0
1.3467390890526527,-0.042803803056508466,0.045974820129735666,1.9934515916470594,0.1213500748852408,0.22023010205423837,0.0
1.3158169920481357,-0.13727467902543322,0.05017507251198716,2.870626721532582,0.11624566036197238,0.0822968799776428,0.0
1.7158768460634948,-0.09372700537515333,0.0444202855788437,2.2289378373342665,0.32245737960793186,0.19253140599118665,0.0
1.3866865463552267,-0.18213289618734307,0.052107252581039515,2.603940151444362,0.12897843251281313,0.09323214646810705,0.0
1.6074691102103658,-0.055966456411055965,0.1333449173265744,1.8339799008576467,0.09367000821591331,0.1353235129568957,0.0
1.6242139984131547,0.18223161718837516,0.12778638067053638,2.937592706181142,0.150084684300498,0.2118779456937237,0.0
1.655696986533049,0.023646758275226665,0.04446683925582815,1.6430655749012226,0.11789503160150755,0.1859794004069493,0.0
1.5424413842120936,0.04726029384934147,0.25810978451802163,2.8591647894814662,0.050434121902163585,0.10964764742902389,0.0
1.4397159123847012,0.07273867042926146,0.27273603348986913,2.879072506761365,0.06115480148839257,0.15836488466558354,0.0
1.28486893490608,-0.030553643078574666,0.01155103402391385,2.051764716680078,0.09403555776301559,0.1804635290630645,0.0
1.2530301515971414,-0.0700838560399757,0.022907637951990932,2.7447000263574117,0.220349444281169,0.17610415716642314,0.0
1.5836977146431477,-0.01872981500540294,0.026161821283755382,1.6966550545494483,0.05659914881925513,0.11139185087421197,0.0
1.7111788830124832,-0.1884542944586165,0.058416623690461716,1.2373901904380644,0.12483936093400919,0.19159751896158056,0.0
