phi,q025,q16,q50,q84,q975
0.0,-0.9830862527662192,-0.9331469325980575,-0.8844306299625466,-0.8380673818213574,-0.7940123196775682
0.0003803803803803804,-0.9564751351323263,-0.9122742217452332,-0.8678575243394709,-0.8249767521322019,-0.7838359750047562
0.0007607607607607608,-0.9399432101371991,-0.8984274984409271,-0.8563027460427693,-0.8154035636824374,-0.7758735598469362
0.0011411411411411411,-0.926218309958167,-0.8864389798969331,-0.8460723359688302,-0.8066922071963749,-0.7686316139533218
0.0015215215215215216,-0.9136526839266798,-0.8755126741398587,-0.8366431008455855,-0.7985279547317152,-0.7615755904993806
0.001901901901901902,-0.9022611413153029,-0.8653272510949241,-0.8277622636262574,-0.7907352675103292,-0.7548034198051422
0.0022822822822822822,-0.8916618683748997,-0.855661233215378,-0.8192680508780185,-0.783313014686955,-0.7482974296054241
0.0026626626626626627,-0.8813061970128316,-0.846476026143496,-0.8110397617478775,-0.7760879166856486,-0.7417750900980807
0.003043043043043043,-0.8714725631795629,-0.8377177216409385,-0.8031989516474255,-0.7691113170993573,-0.7356624682576011
0.0034234234234234236,-0.8619725961383722,-0.8291702566160396,-0.7955083666089358,-0.7623184593293634,-0.7296154197044905
0.003803803803803804,-0.8528036561803073,-0.8208667015913029,-0.7880635704385437,-0.7555830139224334,-0.7236466870133876
0.004184184184184184,-0.8439613448721422,-0.8127768450464408,-0.7808002918538602,-0.7489903651382673,-0.717780761431718
0.0045645645645645645,-0.8354136680673102,-0.8048596535069256,-0.7737189462574683,-0.7425644855989701,-0.7120530774066866
0.004944944944944945,-0.8270023820956752,-0.7972143725015397,-0.766751757185371,-0.7362331653030341,-0.7063189549684483
0.005325325325325325,-0.818760022526723,-0.7897187593312514,-0.7598770250003383,-0.730002813872895,-0.7005668183731146
0.005705705705705706,-0.8107311273584531,-0.7823660124915648,-0.7531426935654376,-0.7237596834055725,-0.6951293553021547
0.006086086086086086,-0.8029707995999787,-0.7750789731465331,-0.7465113718285713,-0.7177260046991716,-0.6896334242754715
0.006466466466466467,-0.7952714169025251,-0.7679805602922233,-0.7399615168139924,-0.7117003939688721,-0.6841434945489698
0.006846846846846847,-0.7877928822251186,-0.7610064712447818,-0.7334799475181226,-0.7057804680565332,-0.6787141869123697
0.007227227227227228,-0.7804428090173247,-0.7541538610773125,-0.7270876662588156,-0.6999346812380252,-0.6733683871024613
0.007607607607607608,-0.7731721607790608,-0.7473168109858342,-0.7208127024266137,-0.6941076150225302,-0.6681048142714054
0.007987987987987989,-0.7659614985583707,-0.7406438881197652,-0.7146014409554406,-0.6883381806509768,-0.6628339080762468
0.008368368368368368,-0.7589243676791264,-0.7340361751062408,-0.7084606257123813,-0.6826502117969746,-0.6576077227230899
0.00874874874874875,-0.7519906526680302,-0.727496388762144,-0.7023586828768583,-0.6769874412368183,-0.6524274371822884
0.009129129129129129,-0.7451714181042298,-0.7210479762918711,-0.6963462100742926,-0.6714097714573146,-0.6471682078529537
0.00950950950950951,-0.7384891122846768,-0.714626800598984,-0.6903895715483509,-0.6658263768247662,-0.6419627708503542
0.00988988988988989,-0.7317420819379307,-0.7083569420881428,-0.6844917609631143,-0.6603037572741888,-0.6368733018305723
0.010270270270270271,-0.7251879358973242,-0.7021317692690316,-0.6786489244467819,-0.6548434071978212,-0.631741964209917
0.01065065065065065,-0.7187292913960208,-0.6959611799313989,-0.6728612277673124,-0.6494473040644279,-0.626584953835339
0.011031031031031032,-0.7122583135863272,-0.6898698792936205,-0.6670758605145102,-0.6440368987537881,-0.621567169827004
0.011411411411411412,-0.7058828177462487,-0.6838167391521575,-0.6613829129834603,-0.638675608542269,-0.6165271158408426
0.011791791791791793,-0.6994914947229625,-0.6778110941729206,-0.6557049616945235,-0.6333381154761782,-0.6114443206701847
0.012172172172172173,-0.6932830802094508,-0.6718378614348286,-0.650072687851867,-0.6280157996510586,-0.6064953504351621
0.012552552552552552,-0.6872305813878845,-0.6659351426178701,-0.6444894806654327,-0.6227503712640965,-0.6014757472145256
0.012932932932932933,-0.6810622242397605,-0.6601219979118869,-0.6389753558825146,-0.6175508986090548,-0.5964366243762061
0.013313313313313313,-0.6750157956260571,-0.6543576807910738,-0.6335048468937361,-0.6123353873566382,-0.591576289313469
0.013693693693693694,-0.669070237265857,-0.6485924214959545,-0.6280353040360589,-0.6071539811465191,-0.5866819358251186
0.014074074074074074,-0.6630989434174526,-0.6429046810528619,-0.6226266259393012,-0.6019688946835854,-0.5818005827482867
0.014454454454454455,-0.6571839781065354,-0.6372485046445432,-0.6172381830367096,-0.5968539976584565,-0.5768591039236809
0.014834834834834835,-0.651293186567369,-0.63165797493682,-0.6118793101643465,-0.5917261358818107,-0.5720093169959792
0.015215215215215216,-0.6454947113079925,-0.6261017950146176,-0.6065738342216207,-0.5866579540868709,-0.5671926341900754
0.015595595595595596,-0.6397806235706617,-0.6205911192700376,-0.6013095418363962,-0.5816245798105588,-0.5624396868864942
0.015975975975975977,-0.6340838739393333,-0.6151095062970399,-0.596035639481407,-0.5766065073671621,-0.5576469889884598
0.016356356356356357,-0.6284258627904911,-0.6096769272865439,-0.5908015948238601,-0.5716100704945041,-0.552880287365599
0.016736736736736736,-0.622788864940213,-0.6043066600002948,-0.5855889210967511,-0.5666347215171483,-0.548142436549693
0.01711711711711712,-0.6171343486067568,-0.5989128592897471,-0.58042244682411,-0.5616921081052391,-0.5434058879618247
0.0174974974974975,-0.6116271909547815,-0.5935985842567081,-0.57526267328405,-0.5567573638439638,-0.5386989875912921
