phi,q025,q16,q50,q84,q975
0.0,0.01311264369614765,0.014653325982845746,0.016452560031545257,0.01839317954069201,0.020343172774293546
0.0003803803803803804,0.01327402527395993,0.014828554262281586,0.016643802817645492,0.018599276160207578,0.020570686968488468
0.0007607607607607608,0.013437306534635263,0.015005508306274824,0.016835920466416545,0.018807254349807918,0.020788305271685157
0.0011411411411411411,0.013604816990258312,0.015184656370114907,0.017028268993200025,0.019016825818560623,0.021016902096546573
0.0015215215215215216,0.013769200084724606,0.015366660405457463,0.017222329683154233,0.01922953945786817,0.02124348468855817
0.001901901901901902,0.01393784443365899,0.015548210357112064,0.017418398510586647,0.01944496766990693,0.021471844164625588
0.0022822822822822822,0.014108459593509289,0.015730886401716593,0.01761879515841716,0.019661902498179937,0.021698026997472527
0.0026626626626626627,0.014279907137847707,0.01591624322077853,0.017821703362001576,0.01988087019848959,0.021934905789420103
0.003043043043043043,0.014453086859925725,0.01610398963323778,0.018026748709564368,0.020102085178620523,0.022167511147854608
0.0034234234234234236,0.014628236216551576,0.01629309769070064,0.018233771965501383,0.020325311874053648,0.02240583197687431
0.003803803803803804,0.014805059461692936,0.016485333174110738,0.018443969709786616,0.020550692988803514,0.022650630848634667
0.004184184184184184,0.01498398737171071,0.01668130755830729,0.018657564090467784,0.020778339766589448,0.022899085435715942
0.0045645645645645645,0.015164816024187282,0.016875484485002187,0.01887359010736159,0.021006685938576655,0.023149897293625512
0.004944944944944945,0.015348295204556495,0.017078726531287457,0.019091103291777496,0.021239105233099884,0.023404843914644896
0.005325325325325325,0.015534630480296883,0.01727537182095929,0.01930886779426646,0.021474275132866236,0.023658663888587568
0.005705705705705706,0.015723635421866947,0.017478139426031384,0.01953006544421966,0.02171209495634125,0.02391829216664444
0.006086086086086086,0.01591295629645028,0.017680281304534563,0.019754727073328458,0.021952171381351367,0.02417834161930923
0.006466466466466467,0.01610402645776912,0.01788382982609454,0.01998149472732569,0.022193459363705034,0.02443555789093301
0.006846846846846847,0.01629907129826317,0.018093672162152644,0.02020735886384686,0.02243369413343513,0.024692204349008887
