phi,q025,q16,q50,q84,q975
0.0,-0.701234648111015,-0.6700348695241279,-0.6290034903057032,-0.6076723494621565,-0.5869376978168195
0.0003803803803803804,-0.6996275197470861,-0.6682694965355389,-0.6274502828499509,-0.6061304692298115,-0.5854367557894099
0.0007607607607607608,-0.6980282930338447,-0.6665299934878733,-0.6258733810610352,-0.6045457592523599,-0.5839725359665291
0.0011411411411411411,-0.6963396754779244,-0.6647447182918902,-0.6242640465099397,-0.6030062632625246,-0.5825295830488695
0.0015215215215215216,-0.6945583321849251,-0.6629601713607822,-0.622660647532155,-0.6014557244690014,-0.5809115708140118
0.001901901901901902,-0.6927618704992501,-0.6611329340003217,-0.6210436365794223,-0.5998474886900237,-0.5793921798534907
0.0022822822822822822,-0.6909100605331638,-0.6592973941968635,-0.6194016432518615,-0.5982593190706449,-0.5779280945339681
0.0026626626626626627,-0.6891066386941799,-0.6573611451144484,-0.6177969442001456,-0.5966573811563333,-0.5763268878310203
0.003043043043043043,-0.6872881284356733,-0.6554948635035839,-0.6161292115886744,-0.5950507895975068,-0.5746619806620078
0.0034234234234234236,-0.6853914414677357,-0.6535703054945468,-0.6144560910839232,-0.5933830223826398,-0.5729970961666337
0.003803803803803804,-0.6834766911872262,-0.6516188350354561,-0.6127771912088534,-0.591733800357067,-0.5714196370631032
0.004184184184184184,-0.6815154986572568,-0.6496746463848978,-0.6110758113755788,-0.5900589589064268,-0.5697409645671271
0.0045645645645645645,-0.6796106966887719,-0.6476758627076483,-0.6093406430698293,-0.5883927291937631,-0.5681676515461966
0.004944944944944945,-0.6775973835600766,-0.6456721264045839,-0.607611199866307,-0.5866583880933507,-0.5665127739804374
0.005325325325325325,-0.6755644103355073,-0.6437757557381028,-0.6058174537601653,-0.5849509566643527,-0.5649631593513452
0.005705705705705706,-0.6736244017085709,-0.6416589544334224,-0.6040460247464113,-0.5832405378991712,-0.5633364517862088
0.006086086086086086,-0.671637669593366,-0.6395292764431926,-0.602245344739407,-0.5814962219866003,-0.5617044752925474
0.006466466466466467,-0.6696202098408,-0.6374036423988935,-0.6004268943523607,-0.5797620480603333,-0.5599790852691451
0.006846846846846847,-0.667622006333497,-0.6351960723989593,-0.5986469353665862,-0.5779566963278937,-0.5582472149291631
0.007227227227227228,-0.6653799087051029,-0.6330481745213561,-0.5968122571356328,-0.576165474489529,-0.5565778697156093
0.007607607607607608,-0.6631815896769586,-0.6309100317557003,-0.5949549009942033,-0.5743716492533514,-0.5548601552619504
0.007987987987987989,-0.6610386402037204,-0.6286758090036763,-0.5931201378744951,-0.5725181430762105,-0.5531198361005494
0.008368368368368368,-0.6590124311772154,-0.6265738017219354,-0.591219263142776,-0.5706649929199228,-0.5512506438887111
0.00874874874874875,-0.6568819310817989,-0.6242505094437685,-0.5892938512394637,-0.5688349347999512,-0.5494936142705649
0.009129129129129129,-0.6546649953250546,-0.6219153533248863,-0.5873736979870873,-0.5669795766611861,-0.5476382102258277
0.00950950950950951,-0.6523260794711867,-0.6196229640462348,-0.5854065543615051,-0.5650138821980499,-0.5458255834188166
0.00988988988988989,-0.6499429768147057,-0.6173337187031667,-0.5833941291514165,-0.5630983828458682,-0.5439879378411336
0.010270270270270271,-0.6477621903627407,-0.6149628234517115,-0.5813850619977639,-0.5611904167133891,-0.5420890284656908
0.01065065065065065,-0.6452423100337559,-0.6126513616489733,-0.5793692370604754,-0.5592288297104405,-0.540101092211525
