z,E2,rho_de_over_rhoc0,S,phi_over_Mpl,V_over_rhoc0,KG_residual
5.0,66.38056208297962,-0.6899147067218582,-6.405052772606723e-07,0.0,-0.6899143864692195,
4.999833327777592,66.37496977693918,-0.6899147066684522,-6.411795910960357e-07,4.727624102976236e-09,-0.6899143860786566,
4.999666655555185,66.36937778193379,-0.6899147066149883,-6.418575042553929e-07,9.458072130171902e-09,-0.6899143856862362,
4.999499983332778,66.36378609795482,-0.6899147065614664,-6.425381070166609e-07,1.4191354737438367e-08,-0.6899143852924129,
4.99933331111037,66.35819472499351,-0.6899147065078862,-6.43218670971528e-07,1.89274758668614e-08,-0.6899143848985507,
4.999166638887963,66.3526036630413,-0.6899147064542478,-6.439001054883731e-07,2.3666436105191845e-08,-0.6899143845041951,
4.998999966665555,66.34701291208944,-0.6899147064005512,-6.44580591805174e-07,2.840823436697781e-08,-0.6899143841102553,
4.998833294443148,66.34142247212932,-0.6899147063467961,-6.452646765869728e-07,3.315287458308128e-08,-0.6899143837144578,
4.998666622220741,66.33583234315226,-0.6899147062929826,-6.459469037750839e-07,3.790035901231225e-08,-0.6899143833195307,
4.998499949998333,66.33024252514953,-0.6899147062391107,-6.466309105903769e-07,4.265068656473483e-08,-0.6899143829236554,
4.9983332777759255,66.32465301811253,-0.6899147061851801,-6.473157876392084e-07,4.740386116457093e-08,-0.6899143825272863,
4.998166605553519,66.3190638220326,-0.689914706131191,-6.480024440625759e-07,5.2159886730022144e-08,-0.6899143821299689,
4.997999933331111,66.313474936901,-0.6899147060771432,-6.486881521343115e-07,5.691876383905887e-08,-0.6899143817330672,
4.9978332611087035,66.30788636270911,-0.6899147060230366,-6.493756394289957e-07,6.168049306664901e-08,-0.6899143813352169,
4.997666588886296,66.30229809944827,-0.6899147059688713,-6.500630875130458e-07,6.644507665629662e-08,-0.6899143809373275,
4.997499916663889,66.29671014710979,-0.689914705914647,-6.507523146179278e-07,7.121251684708439e-08,-0.6899143805384896,
4.9973332444414815,66.291122505685,-0.6899147058603639,-6.514396842301804e-07,7.598281254759163e-08,-0.6899143801405218,
4.997166572219074,66.28553517516524,-0.6899147058060218,-6.521306508926141e-07,8.075596599280764e-08,-0.6899143797406964,
4.996999899996666,66.27994815554182,-0.6899147057516205,-6.528215781422972e-07,8.553198274640882e-08,-0.6899143793408314,
4.9968332277742595,66.27436144680614,-0.6899147056971602,-6.53513374993904e-07,9.031086337399126e-08,-0.6899143789404727,
4.996666555551852,66.26877504894944,-0.6899147056426406,-6.542042233928207e-07,9.509260678034906e-08,-0.6899143785405288,
4.996499883329444,66.26318896196308,-0.6899147055880619,-6.548968503072777e-07,9.98772135312968e-08,-0.6899143781396367,
4.996333211107037,66.25760318583842,-0.6899147055334238,-6.555903466468063e-07,1.0466468751453648e-07,-0.6899143777382505,
4.99616653888463,66.25201772056681,-0.6899147054787264,-6.56284712335613e-07,1.0945503095272005e-07,-0.6899143773363702,
4.995999866662222,66.24643256613952,-0.6899147054239695,-6.569799472979039e-07,1.1424824606582822e-07,-0.6899143769339958,
4.995833194439815,66.24084772254788,-0.689914705369153,-6.576760514578853e-07,1.1904433507105951e-07,-0.6899143765311273,
4.995666522217407,66.23526318978325,-0.689914705314277,-6.583712070641184e-07,1.2384329686949064e-07,-0.6899143761286735,
4.995499849994999,66.229678967837,-0.6899147052593414,-6.590681406300707e-07,1.2864513201857726e-07,-0.689914375725271,
4.995333177772593,66.22409505670042,-0.6899147052043461,-6.597677607914482e-07,1.3344984769802553e-07,-0.6899143753204656,
4.995166505550185,66.21851145636482,-0.689914705149291,-6.604655235107257e-07,1.382574444615874e-07,-0.6899143749165292,
4.994999833327777,66.21292816682156,-0.6899147050941761,-6.611650638865473e-07,1.4306792120503732e-07,-0.6899143745116442,
4.99483316110537,66.20734518806196,-0.6899147050390013,-6.618636556328268e-07,1.478812784822311e-07,-0.6899143741071735,
4.994666488882963,66.2017625200774,-0.6899147049837666,-6.625658422565336e-07,1.5269752014773037e-07,-0.6899143737008455,
4.994499816660555,66.19618016285912,-0.6899147049284717,-6.632661714886692e-07,1.575166484043777e-07,-0.689914373295386,
4.994333144438148,66.1905981163985,-0.689914704873117,-6.639682780236447e-07,1.62338662146701e-07,-0.6899143728889781,
4.99416647221574,66.18501638068687,-0.689914704817702,-6.646721617098731e-07,1.6716356687229995e-07,-0.6899143724816211,
4.993999799993333,66.17943495571559,-0.6899147047622267,-6.653778223957666e-07,1.7199136807124622e-07,-0.6899143720733155,
4.993833127770926,66.17385384147596,-0.6899147047066911,-6.660807171301769e-07,1.768220629872579e-07,-0.6899143716663326,
4.993666455548518,66.16827303795928,-0.6899147046510954,-6.667853888137233e-07,1.816556488643003e-07,-0.6899143712584009,
4.9934997833261106,66.16269254515694,-0.689914704595439,-6.674918372948181e-07,1.8649213118592148e-07,-0.6899143708495203,
4.993333111103704,66.15711236306026,-0.6899147045397224,-6.681991539377556e-07,1.913315137829068e-07,-0.6899143704401454,
4.993166438881296,66.15153249166055,-0.689914704483945,-6.689064302078877e-07,1.9617379719087316e-07,-0.6899143700307299,
4.992999766658889,66.14595293094914,-0.6899147044281071,-6.696136661052151e-07,2.0101898030057416e-07,-0.6899143696212741,
4.992833094436481,66.14037368091735,-0.6899147043722086,-6.703226784463867e-07,2.0586706529083998e-07,-0.6899143692108693,
4.992666422214074,66.13479474155659,-0.6899147043162492,-6.710334670798151e-07,2.1071805762383078e-07,-0.6899143687995157,
4.992499749991667,66.1292161128581,-0.6899147042602293,-6.71742398422731e-07,2.1557195618880483e-07,-0.6899143683890301,
4.992333077769259,66.12363779481325,-0.6899147042041482,-6.72454014289376e-07,2.204287615142696e-07,-0.6899143679771411,
4.992166405546851,66.11805978741334,-0.6899147041480064,-6.731655895305703e-07,2.252884774122469e-07,-0.6899143675652116,
4.991999733324445,66.11248209064978,-0.6899147040918034,-6.738798489923191e-07,2.3015110768724518e-07,-0.6899143671518789,
4.991833061102037,66.10690470451382,-0.6899147040355395,-6.74592251163555e-07,2.3501665286484894e-07,-0.6899143667394139,
4.991666388879629,66.10132762899681,-0.6899147039792144,-6.75306429121756e-07,2.398851118287786e-07,-0.6899143663259998,
4.991499716657222,66.0957508640901,-0.689914703922828,-6.760214745091267e-07,2.44756488377951e-07,-0.6899143659120908,
4.991333044434814,66.090174409785,-0.6899147038663805,-6.7673647906893e-07,2.496307830339724e-07,-0.689914365498141,
4.991166372212407,66.0845982660729,-0.6899147038098716,-6.774541672682021e-07,2.545079995872301e-07,-0.689914365082788,
4.99099969999,66.07902243294505,-0.6899147037533013,-6.78170906357905e-07,2.5938814019144805e-07,-0.6899143646678482,
4.990833027767592,66.07344691039282,-0.6899147036966695,-6.788894207292812e-07,2.6427120536090406e-07,-0.6899143642519592,
4.9906663555451845,66.06787169840754,-0.6899147036399763,-6.796060779112031e-07,2.6915719397966025e-07,-0.6899143638369374,
4.990499683322778,66.06229679698056,-0.6899147035832214,-6.803272344376018e-07,2.740461098258503e-07,-0.6899143634196041,
4.99033301110037,66.05672220610319,-0.6899147035264048,-6.810465337240168e-07,2.7893795667863536e-07,-0.6899143630031379,
4.9901663388779625,66.05114792576673,-0.6899147034695267,-6.817676079384011e-07,2.8383273341545323e-07,-0.6899143625857227,
4.989999666655555,66.04557395596257,-0.6899147034125865,-6.824895489503405e-07,2.887304438076658e-07,-0.6899143621678121,
4.989832994433148,66.04000029668201,-0.6899147033555846,-6.832123566840411e-07,2.936310899921209e-07,-0.6899143617494062,
4.9896663222107405,66.03442694791637,-0.6899147032985208,-6.839351231354117e-07,2.9853467247520795e-07,-0.6899143613309592,
4.989499649988333,66.028853909657,-0.6899147032413949,-6.846596641105182e-07,3.0344119338930604e-07,-0.6899143609115629,
4.989332977765925,66.02328118189526,-0.689914703184207,-6.853832558244678e-07,3.0835065323964094e-07,-0.689914360492579,
4.9891663055435185,66.01770876462244,-0.689914703126957,-6.861104376155738e-07,3.1326305577949176e-07,-0.6899143600717382,
4.988999633321111,66.01213665782987,-0.6899147030696448,-6.868357622172253e-07,3.18178403136945e-07,-0.6899143596517636,
4.988832961098703,66.0065648615089,-0.6899147030122702,-6.875628609889085e-07,3.230966941844578e-07,-0.6899143592308397,
4.988666288876296,66.00099337565084,-0.6899147029548335,-6.882899182256157e-07,3.280179310463058e-07,-0.6899143588098744,
4.988499616653889,65.99542220024706,-0.6899147028973343,-6.890196571816837e-07,3.3294211746474095e-07,-0.6899143583875057,
4.988332944431481,65.98985133528885,-0.6899147028397725,-6.897484467250074e-07,3.378692555581658e-07,-0.6899143579655491,
4.988166272209074,65.98428078076756,-0.6899147027821484,-6.904781023332131e-07,3.4279934419748237e-07,-0.6899143575430973,
4.987999599986666,65.97871053667453,-0.6899147027244615,-6.912095316061589e-07,3.47732387117293e-07,-0.6899143571196957,
4.987832927764259,65.9731406030011,-0.689914702666712,-6.919418267418703e-07,3.526683880480963e-07,-0.6899143566957986,
4.987666255541852,65.96757097973854,-0.6899147026088999,-6.926731724143081e-07,3.576073458596021e-07,-0.6899143562723137,
4.987499583319444,65.96200166687827,-0.6899147025510248,-6.934062914988401e-07,3.6254926103944113e-07,-0.6899143558478791,
4.987332911097036,65.95643266441152,-0.689914702493087,-6.941402762692855e-07,3.674941373112873e-07,-0.6899143554229488,
4.987166238874629,65.9508639723297,-0.6899147024350861,-6.948742191005216e-07,3.7244197516097177e-07,-0.6899143549979766,
4.986999566652222,65.94529559062416,-0.6899147023770223,-6.956117500888056e-07,3.7739277991892195e-07,-0.6899143545711474,
4.986832894429814,65.93972751928614,-0.6899147023188954,-6.963474239381643e-07,3.823465536828759e-07,-0.6899143541451834,
4.986666222207407,65.93415975830703,-0.6899147022607054,-6.970839632207905e-07,3.8730329370201563e-07,-0.6899143537187238,
4.986499549984999,65.92859230767816,-0.6899147022024521,-6.978222753091607e-07,3.9226300368399613e-07,-0.6899143532913145,
4.986332877762592,65.92302516739088,-0.6899147021441355,-6.985605452056763e-07,3.972256857202907e-07,-0.6899143528638629,
4.986166205540185,65.91745833743646,-0.6899147020857557,-6.992987729103365e-07,4.0219133867574776e-07,-0.6899143524363692,
4.985999533317777,65.91189181780628,-0.6899147020273124,-7.000387731680953e-07,4.0715996463825227e-07,-0.6899143520079258,
4.9858328610953695,65.90632560849166,-0.6899147019688057,-7.007796384801527e-07,4.1213156730462454e-07,-0.6899143515789864,
4.985666188872963,65.90075970948394,-0.6899147019102353,-7.015231834146102e-07,4.1710615197484447e-07,-0.6899143511486436,
4.985499516650555,65.89519412077442,-0.6899147018516014,-7.022639639639889e-07,4.220837175108458e-07,-0.6899143507196195,
4.9853328444281475,65.88962884235445,-0.6899147017929038,-7.030083312555984e-07,4.270642643789565e-07,-0.6899143502887382,
4.98516617220574,65.88406387421537,-0.6899147017341424,-7.037517487554949e-07,4.320477962644812e-07,-0.689914349858268,
4.984999499983333,65.87849921634853,-0.6899147016753172,-7.0449693820214e-07,4.370343136319853e-07,-0.6899143494268482,
4.9848328277609255,65.87293486874522,-0.6899147016164281,-7.052420850526963e-07,4.4202381855350577e-07,-0.6899143489953856,
4.984666155538518,65.86737083139677,-0.689914701557475,-7.059890036478846e-07,4.47016313096885e-07,-0.6899143485629732,
4.98449948331611,65.86180710429454,-0.6899147014984579,-7.06735879545926e-07,4.5201179932899866e-07,-0.6899143481305181,
4.9843328110937035,65.85624368742987,-0.6899147014393767,-7.074836198666518e-07,4.570102777100838e-07,-0.6899143476975668,
4.984166138871296,65.85068058079406,-0.6899147013802314,-7.082322245342677e-07,4.620117503028436e-07,-0.689914347264119,
4.983999466648888,65.84511778437844,-0.6899147013210217,-7.089816934729804e-07,4.6701621916749256e-07,-0.6899143468301749,
4.983832794426481,65.83955529817436,-0.6899147012617478,-7.097320266069961e-07,4.720236863618004e-07,-0.6899143463957345,
4.983666122204074,65.83399312217317,-0.6899147012024095,-7.104832238605208e-07,4.770341539410557e-07,-0.6899143459607976,
4.983499449981666,65.82843125636614,-0.6899147011430068,-7.112352851577609e-07,4.820476239580298e-07,-0.6899143455253642,
4.983332777759259,65.82286970074468,-0.6899147010835395,-7.119873034546793e-07,4.870640968650411e-07,-0.6899143450898877,
4.983166105536851,65.81730845530004,-0.6899147010240076,-7.127401856942547e-07,4.92083573113448e-07,-0.6899143446539148,
4.982999433314443,65.81174752002362,-0.6899147009644112,-7.134939318006933e-07,4.971060547517207e-07,-0.6899143442174454,
4.982832761092037,65.80618689490673,-0.6899147009047499,-7.14250355483101e-07,5.021315470172441e-07,-0.6899143437795722,
4.982666088869629,65.80062657994068,-0.6899147008450239,-7.150058290453559e-07,5.07160051952221e-07,-0.6899143433421094,
4.982499416647221,65.7950665751168,-0.6899147007852331,-7.157621662470928e-07,5.121915684046808e-07,-0.68991434290415,
4.982332744424814,65.78950688042646,-0.6899147007253772,-7.165193670125182e-07,5.172260984133406e-07,-0.6899143424656937,
4.982166072202407,65.78394749586099,-0.6899147006654565,-7.172792448486207e-07,5.222636471995198e-07,-0.689914342025834,
4.981999399979999,65.77838842141168,-0.6899147006054704,-7.180372656973853e-07,5.273042152038094e-07,-0.6899143415868376,
4.981832727757592,65.77282965706986,-0.6899147005454195,-7.187961499329863e-07,5.323477996803524e-07,-0.6899143411473445,
4.981666055535184,65.76727120282689,-0.6899147004853032,-7.195577109108248e-07,5.373944058417147e-07,-0.6899143407064477,
4.981499383312777,65.76171305867413,-0.6899147004251216,-7.203201350228538e-07,5.424440388948999e-07,-0.689914340265054,
4.98133271109037,65.75615522460284,-0.6899147003648747,-7.210816088631425e-07,5.474966976835397e-07,-0.6899143398240702,
4.981166038867962,65.75059770060442,-0.6899147003045624,-7.218439457870923e-07,5.525523810516432e-07,-0.6899143393825895,
4.9809993666455545,65.74504048667012,-0.6899147002441846,-7.226071457189098e-07,5.576110910214475e-07,-0.6899143389406117,
4.980832694423148,65.7394835827914,-0.6899147001837411,-7.233730217613502e-07,5.626728327856488e-07,-0.6899143384972303,
4.98066602220074,65.73392698895945,-0.6899147001232321,-7.24137040866982e-07,5.677376067746034e-07,-0.6899143380547117,
