model,H0,Omega_m0,A,eta,n,V0tilde,phi_ini,phip_ini,zdagger_target,E0,DM,O_F,phi0,phip0,zt,zdagger,Delta_z,E0_minus_1,DM_minus_cal_Mpc,R_E0,R_DM,R_zdagger,cost,optimizer_success,optimizer_status,optimizer_message,nfev,search_nfev,final_refinement_nfev,search_cost,optimality,integration_valid,crossings_finite,parameters_at_bounds,conv_dE0,conv_dDM_Mpc,conv_dzt,conv_dzdagger,accepted
offset_axion,75,0.2544661182926538,0.6354082714104604,0.2,1.0,-0.4922632730689734,0.19355969659785727,0.0,1.8,1.0000000000000004,13869.569999999987,0.0,0.6277703295920436,0.445519439279341,2.1931632321616656,1.8000000000000074,0.39316323216165827,4.440892098500626e-16,-1.2732925824820995e-11,4.440892098500626e-12,-5.093170329928399e-13,2.4424906541753444e-13,1.0020292038289632e-23,True,3,`xtol` termination condition is satisfied.,3,69,3,2.756541974783718e-27,1.2548964285079e-07,True,True,False,8.952838470577262e-13,1.0066469258163124e-07,5.411759929074833e-11,4.98248109437327e-11,True
offset_axion,73,0.26860047202029985,1.0490634470716487,0.2,1.0,-1.3387542213017447,0.2416002426057947,0.0,1.8,1.0000004101571782,13881.095187405119,0.0,0.5904497890326932,-0.23610913229034441,2.2224526930236346,1.8035684198144895,0.4188842732091451,4.1015717822112663e-07,11.52518740511914,0.004101571782211266,0.4610074962047656,0.118947327149647,0.11334660054205839,True,2,`ftol` termination condition is satisfied.,13,243,13,0.11334654675095016,0.003015698882500165,True,True,False,-5.401679104011237e-12,-7.647104212082922e-07,-3.012461391449506e-10,-2.820468303355028e-10,False
offset_axion,71,0.28394602566875177,1.0831608774589156,0.2,1.0,-1.4234687366837888,0.2541031044677455,0.0,1.8,1.0000025015281162,13939.62379308719,-2.220446049250313e-16,0.5927157698902418,-0.2418537658118555,2.2438877772443786,1.8198937575826626,0.423994019661716,2.5015281162055203e-06,70.05379308719057,0.025015281162055203,2.802151723487623,0.6631252527554181,4.146207573289105,True,3,`xtol` termination condition is satisfied.,14,46,14,4.146209282078302,0.028311632387597943,True,True,False,-1.2745360322696797e-13,-4.246994649292901e-07,3.97282207131866e-11,-1.9631229974947928e-10,False
offset_axion,69,0.30064522482591427,1.1191164233434212,0.2,1.0,-1.5132305656147513,0.26673839825369,0.0,1.8,1.0000046968092855,14000.783650093234,0.0,0.5948456160674204,-0.24588732514892753,2.262801106446077,1.8341341816523373,0.4286669247937396,4.696809285498205e-06,131.2136500932338,0.046968092854982046,5.248546003729352,1.1378060550779094,14.422021886990871,True,2,`ftol` termination condition is satisfied.,15,41,15,14.422024571845606,0.4222084315699773,True,True,False,3.973488205133435e-12,-1.0735857358668e-07,3.6233993583323354e-10,-1.704811847247356e-10,False
offset_axion,68,0.3095527498694155,1.1378858070062718,0.2,1.0,-1.56024595848768,0.27311949857285134,0.0,1.8,1.0000058321097607,14032.334645313289,0.0,0.5958648751428951,-0.24734758543869956,2.271351174843336,1.8405027424533553,0.4308484323899806,5.8321097606839345e-06,162.7646453132893,0.058321097606839345,6.510585812531572,1.3500914151118426,22.106937900961075,True,2,`ftol` termination condition is satisfied.,9,98,9,22.106936569371236,0.11075948037813158,True,True,False,-5.209166431541234e-13,-2.8477916202973574e-07,-2.733320236814052e-10,4.932476649344153e-11,False
offset_axion,67,0.31886208852666015,1.1572159861568425,0.2,1.0,-1.608781394339355,0.2795498231176065,0.0,1.8,1.0000070035667619,14064.52828285967,-2.220446049250313e-16,0.5968543850249546,-0.24845253571899695,2.2793082067628845,1.8463791903180198,0.4329290164448647,7.003566761865088e-06,194.95828285967036,0.07003566761865088,7.7983313143868145,1.545973010600658,31.604454416595217,True,4,Both `ftol` and `xtol` termination conditions are satisfied.,15,154,15,31.604453002923346,35.98637569275081,True,True,False,-4.451772284141953e-12,-2.431042958050966e-07,-2.287694478297908e-10,-1.1215894879512689e-10,False
