phi,V,sigma,residual
0.0,-0.7839238636648898,0.08520456916487518,-0.09518105703071844
0.0038383838383838384,-0.7382583201460566,0.08418041929110152,-0.07120861258850497
0.007676767676767677,-0.7178048190321389,0.08228191686185876,-0.07523223816623881
0.011515151515151515,-0.6024420896677929,0.07994423451667572,0.014176415831919309
0.015353535353535354,-0.6093836274994051,0.07734884198255093,-0.02071530244563602
0.01919191919191919,-0.5443185192012207,0.07460863716157035,0.014771895959838965
0.02303030303030303,-0.45482523048283524,0.07180500195503695,0.07308260241615533
0.026868686868686868,-0.41632958894498495,0.06900201230385236,0.07874316779304946
0.030707070707070707,-0.4032012407767736,0.06625329726050652,0.05716208261731309
0.034545454545454546,-0.42182434445135475,0.06360575272586341,0.002250831744166959
0.03838383838383838,-0.3973266102005702,0.061101616733609025,-0.010779010054511706
0.042222222222222223,-0.35693052179684315,0.05877953129605302,-0.009308975749942772
0.04606060606060606,-0.2863289400767266,0.05667487312943179,0.021148794471190002
0.0498989898989899,-0.22757818486968995,0.054819499822502296,0.038576577095816356
0.053737373737373736,-0.2346874720243764,0.05324102612512522,-0.010717753122788748
0.05757575757575758,-0.20038042363756522,0.05196177150859748,-0.01939467655952129
0.061414141414141414,-0.0847857187878803,0.05099758135954898,0.0525846295797503
0.06525252525252526,-0.15308225278028975,0.05035677806731459,-0.05955905655904431
0.06909090909090909,-0.028741921897299627,0.050039514773364574,0.020679846613508274
0.07292929292929293,0.040738221263818694,0.05003774161320378,0.046162997121291696
0.07676767676767676,0.008452476143029145,0.05033586616862763,-0.029606758420415012
0.08060606060606061,0.039271865749992446,0.05091202713219962,-0.04180282696879979
0.08444444444444445,0.09368814462855307,0.0517397696238293,-0.029731587886719188
0.08828282828282828,0.20355143164045908,0.052789849250718085,0.03889636879339725
0.09212121212121212,0.1977893314647306,0.05403191922286365,-0.0068990794324665095
0.09595959595959595,0.13576108443271706,0.05543593154526108,-0.10776891307660946
0.0997979797979798,0.24899998109422836,0.056973175666407416,-0.03199214530362507
0.10363636363636364,0.36536420461460084,0.058616959216000776,0.04844028873521178
0.10747474747474747,0.39718799999573723,0.06034298164759937,0.04595073194072635
0.11131313131313131,0.4079355749858157,0.0621294695591063,0.024222643951365475
0.11515151515151516,0.38358733442798476,0.06395715184973667,-0.031044974791957003
0.11898989898989899,0.3064693910142475,0.06580912494457224,-0.13729383922660404
0.12282828282828283,0.46747091499644094,0.06767066391617298,-0.003716875408157405
0.12666666666666668,0.47090861842581755,0.06952900808733536,-0.026059533176106264
0.1305050505050505,0.5148070614105048,0.0713731448533624,-0.006151033831787056
0.13434343434343435,0.6474242199410146,0.07319359728142436,0.10397178075546487
0.13818181818181818,0.5725516257695669,0.07498223457445731,0.008134355620668221
