phi,V_true,V_noisy,sigma
0.0,-0.6899147555625924,-0.7839242657326971,0.08520459905093103
0.0023232323232323234,-0.6510510513101089,-0.7105679116310236,0.08208943119622636
0.004646464646464647,-0.5992135352428178,-0.6602272554870413,0.07804209510374487
0.00696969696969697,-0.5427579523165622,-0.5230561797109643,0.07379608355481121
0.009292929292929294,-0.4838765709517528,-0.5011727983839094,0.06957992066077877
0.011616161616161618,-0.4236524702931427,-0.4153634248091505,0.06553483162299895
0.01393939393939394,-0.3627315077104246,-0.31065534486157326,0.061771688230602695
0.016262626262626263,-0.30154009895435385,-0.2514461226415533,0.05838890573365813
0.018585858585858588,-0.24037861783547285,-0.21401633557160907,0.05547809296582682
0.020909090909090912,-0.17946845818409254,-0.20341479177500127,0.053123340207763235
0.023232323232323236,-0.11897834739127697,-0.1577789178602823,0.05139609393212284
0.025555555555555557,-0.05904023336925921,-0.10006397930182147,0.05034736826849012
0.02787878787878788,0.00024055261438928055,-0.016952192265059046,0.0500000057865557
0.030202020202020206,0.05877853226431413,0.0561918370943084,0.050344306118482465
0.032525252525252527,0.11650334182425216,0.06658742968256401,0.05133936390881938
0.03484848484848485,0.17335641296202728,0.1133193535217003,0.05291998166241755
0.037171717171717175,0.22928848572163255,0.24610430726420585,0.05500665502323508
0.0394949494949495,0.2842576824647433,0.1777572279769904,0.05751542662975098
0.041818181818181824,0.33822834553667375,0.3275404358520043,0.06036542170187132
0.04414141414141415,0.3911696904625129,0.4182025355026433,0.06348336213028877
0.04646464646464647,0.44305506796723326,0.37722787112517575,0.0668055232186269
0.04878787878787879,0.4938613443561944,0.4156452094662255,0.07027795013013026
0.051111111111111114,0.5435681510824728,0.4873915885479459,0.07385569273056872
0.05343434343434344,0.592157745403184,0.6423807294832068,0.07750166420413061
0.05575757575757576,0.6396144192335996,0.6290740111257302,0.08118538078321337
0.05808080808080809,0.6859241635509395,0.527229389445266,0.08488179770381021
0.06040404040404041,0.7310747286568724,0.6935785601299095,0.08857032566727524
0.06272727272727273,0.7750550503740509,0.8685707668870092,0.09223395964124725
0.06505050505050505,0.8178553186447777,0.9121529047744046,0.09585861058014303
0.06737373737373738,0.8594666759555436,0.9221133463457611,0.09943253828994167
0.0696969696969697,0.8998812535216669,0.8753740705143698,0.10294592126158893
0.07202020202020203,0.9390919776313711,0.7428079109993717,0.10639049499140417
0.07434343434343435,0.9770923217491606,0.9957050469538365,0.10975925497292542
0.07666666666666667,1.0138766044606031,0.9939829757535992,0.113046263497409
0.078989898989899,1.049439585550921,1.058367296266117,0.11624643838506576
0.08131313131313132,1.083776469693746,1.2678588122193917,0.11935541195362025
0.08363636363636365,1.1168831286979133,1.1393603799986596,0.12236943749033251
0.08595959595959597,1.1487556131195642,1.183376164533782,0.12528525287014852
0.0882828282828283,1.179390532606215,1.256903544997945,0.12810004014055468
0.09060606060606062,1.2087846705479635,1.175222550857035,0.13081132901059253
0.09292929292929294,1.2369351777865965,1.1482987722284188,0.13341696421542348
0.09525252525252526,1.2638397444896454,1.163619627833554,0.13591508009605308
0.09757575757575758,1.2894957771448994,1.3955703020376888,0.1383039897933002
0.0998989898989899,1.3139015417814093,1.384832701214931,0.14058226280351174
