A,phi_c,w,weight
-8.668112300610382,-0.04346204897044581,3.7495979792530454,0.0
-8.449750028437933,0.0893121250715797,2.020574087582703,0.0
-8.357805016296359,0.04979315003647433,3.327011807617034,0.0
-8.49198979277304,-0.2774609066287845,2.348619028452539,0.0
-8.211711820447968,0.21025201596015308,1.8878034149828469,0.0
-8.365848656837754,-0.5130056760708827,2.36354820568115,0.0
-8.006303764692507,-0.09365331765597296,2.2727392269274573,0.0
-8.249553018866719,0.5128843689941405,1.2044062214010092,0.0
-8.1006898672619,-0.3461957220101893,2.113472985515273,0.0
8.567818023175317,0.30283383221463156,1.1732969864274718,0.0
-7.85221805540985,0.2098553862446778,1.0732032986822835,0.0
-8.036497165121387,-0.37146086741135953,2.045861380137896,0.0
-7.847068801411977,0.09602253566193186,0.790357961443769,0.0
8.360742662221071,0.08478477353666236,1.0811541444728738,0.0
8.516929459689937,-0.6491948434043253,3.1980212370768646,0.0
8.256591602972346,0.13006242215810992,1.4930745298695387,0.0
8.30974039549126,-0.1756073888932228,2.293934231376089,0.0
8.463287176287885,-0.11601357487112629,1.1530658369339315,0.0
-7.739552397476593,-0.4440053934925295,3.13824013194139,0.0
-7.823547849658707,-0.20993613068439632,1.4986865961057647,0.0
-7.580427301021199,0.19579231609038328,1.8194956042227444,0.0
8.42200889241926,0.10671583447038602,0.4188253585713679,0.0
-7.654785242812477,-0.3841451080008013,2.6515809399209207,0.0
-7.579052489143759,-0.29335723383805945,2.7974668547326687,0.0
8.273006210137808,0.2645264939480796,0.6408092760439766,0.0
8.359339444883716,0.12662734060887415,0.36071051290131634,0.0
-7.9353681882185505,-0.6484790002740042,2.1803152326513433,0.0
8.001207579533787,0.318034324007163,2.923248666117465,0.0
-7.4833743228022,-0.36869696778608246,3.087376294362083,0.0
8.543526210394852,-0.368779597223107,1.380542714789363,0.0
8.090319540836045,-0.28641584270507087,2.336193790929012,0.0
-7.3656960845508355,0.3792547335708234,1.7176529334230637,0.0
-7.400676938855504,0.35603629471405895,1.2644814409329788,0.0
8.35360454362839,-0.0954141861376584,0.7646643109342861,0.0
-7.4113517623112735,0.1839665346261692,0.5593219987739512,0.0
-7.28543953107788,0.6551319654939571,3.7423597792029124,0.0
8.038519144065557,0.04437055746335694,0.611240710306984,0.0
7.978364452503616,-0.32908013482556864,2.2423910934220284,0.0
8.0718027297474,0.38917661459362707,0.9915569107939015,0.0
-7.289213134681627,0.12578549670678574,0.6389005550999605,0.0
-7.168967329822442,0.15451055577375417,2.51749552076254,0.0
8.09492084621484,-0.27269583691183036,1.3575712877775408,0.0
-7.706252833370486,-0.3555740354117917,1.265893242867377,0.0
