Lambda4,eta,n,V0,weight
2.5278487475802676,0.04086905245330926,1.1940404812964818,2.0822952303934823,0.0
2.213216670145538,0.018453580417600174,1.5050799037040539,1.8640768841084148,0.0
2.3359074353166513,0.008323482483131915,1.4239924185175912,1.7605726461988946,0.0
2.245909668416657,0.015183577521661572,1.2822176586664569,2.002269011816723,0.0
2.4357096960373354,0.016397449349139937,0.9063500560826134,2.0783623766715946,0.0
2.310745255037961,0.010839038312918929,1.3915214243829053,1.464763138932026,0.0
2.3589210006802284,0.007997406971489542,1.5169753810449087,0.9993890524766815,0.0
2.1681058122543875,0.009089829910439348,1.477538089636596,1.328252672770764,0.0
1.7255269928312031,0.009586954810887846,1.5088142823012776,2.1000331298234993,0.0
2.3335944656602807,0.012557849599899243,0.7576964154769321,2.0261881234964827,0.0
2.2618820963857296,0.01025739769078223,0.7276324160356824,2.10860349173688,0.0
2.580805234526663,0.0499655332607954,0.8089063343479821,1.9045486949016057,0.0
2.191351385117646,0.09916157367445155,1.159726891600544,2.1358969834873536,0.0
2.280178986945025,0.018196141691587814,0.08634027946615531,2.1636672063490208,0.0
2.464490801549207,0.10733996288744635,1.3661508513354217,1.558327305175066,0.0
2.520525218000472,0.029074971311442103,1.1772310901434453,0.7481998317529119,0.0
2.2335622480768937,0.023284104039518028,0.15550934137786626,2.1065299470976404,0.0
2.573346846528498,0.07435830966808281,1.1470722202389336,1.528534011764361,0.0
2.5617888442872547,0.009878183332693734,0.4186610991801295,1.857763680048473,0.0
2.119431108975893,0.01662519186326976,0.5374445778411384,2.1144548644937595,0.0
1.9255293627324408,0.016359881255521142,1.095656371136796,1.7754135332223195,0.0
2.377329984256805,0.02696604766457364,1.2734648764286367,0.6899812898695101,0.0
1.7963676576958227,0.008766544075639697,1.2224168271473175,1.9037548437095841,0.0
2.2830268531210702,0.057615688019635104,0.98862378110921,1.9221652308971642,0.0
2.2535768621585572,0.04150016614308457,0.13913418046914272,1.965257546602599,0.0
2.1376332164404257,0.029455026802478915,1.3815971075675093,0.7665117866919529,0.0
1.601164326792711,0.023633221263013985,1.4577800148730722,1.5029373229675032,0.0
2.2901231317078032,0.009870073513950186,1.0330329036814674,1.4565599934176912,0.0
1.9636934935232397,0.01849508062481426,0.9426650249856346,1.8607181893085993,0.0
2.4093116775252246,0.0076556992061269,0.6665439537826887,1.6177993301945839,0.0
1.933851337313002,0.03377894729855413,1.0041769208535885,1.5520921484122003,0.0
1.5408988056220565,0.03447043815629644,1.3802730394797855,1.6379908317146596,0.0
1.5693906069363908,0.016183138105807918,1.1651214444818117,2.036187911165201,0.0
1.54017893036427,0.031017603950027145,1.5307668274370616,1.472777869150712,0.0
1.8704607855462914,0.016549439578523967,0.5270471753952028,2.155669294091287,0.0
1.6258340315123574,0.02760496064313809,0.9299687314886529,2.106146303296657,0.0
2.051227165315426,0.013069535881906364,0.7987894972591958,1.8321563704046966,0.0
1.571921957746566,0.030263767320934165,1.4545436648027537,1.5199997774683354,0.0
2.5872830775441584,0.0560600083314704,1.07605836532651,1.3069085552460793,0.0
2.4700173503579426,0.08523404032303,0.6704654654415864,1.7147052573915578,0.0
1.9861316224275258,0.02009888387209997,1.371617646201823,0.9110209235525129,0.0
2.2801136238349082,0.04698732144610072,0.8748134167323246,1.630902094545521,0.0
2.5042721911875083,0.012639448744585386,1.2235896174970728,0.5200843346568389,0.0
1.4398469989792086,0.015034371557263806,1.2236567565122642,2.129662460745285,0.0
1.7441808975827866,0.017717678539122907,0.9826637346470455,1.8796105946721884,0.0
2.1008716838209907,0.013128835034471808,0.12470138569737461,1.911610609159311,0.0
1.1722088456408712,0.02129250983060436,1.3915460593805216,2.1524915826404873,0.0
2.323282328122823,0.04480606649460103,0.3945165101742308,1.7162903662299294,0.0
1.8383511211160333,0.013048197722745054,1.3264402176185726,1.36714178106085,0.0
2.4934731174061193,0.10058815357692667,0.8508822251734516,1.6158734631660563,0.0
1.370029539939297,0.007851545589847353,1.3046542541173267,2.107554606408736,0.0
2.4011869299080058,0.0529081581578061,0.0675144206728281,1.5819992776012377,0.0
1.5760764219279964,0.03493166289055543,1.268779841218983,1.5463212626928269,0.0
1.4313274106335274,0.019990013025509488,1.2845109656455873,1.8857889721146037,0.0
1.9173473910449585,0.01933386953427752,0.8075548501465215,1.7461229771318036,0.0
2.2665635769533767,0.054842894243202656,1.0321910799375524,1.5764833325231655,0.0
1.6713042420894049,0.047391620373143914,1.5278703784539507,1.697234348161246,0.0
2.124231766394228,0.04375144572508584,0.15948748185269185,1.7879524875116801,0.0
1.9997768403945118,0.013853033674811109,1.3847579646049224,0.9944272084188173,0.0
1.8479753493175395,0.00819867731835837,1.2878631201583428,1.3420231190410337,0.0
1.6201309066875316,0.02496519561503807,0.7322297134590785,1.9474786780652762,0.0
1.530884016535976,0.014932042102374227,0.9687423591697484,2.0462380109657126,0.0
1.9138708734776626,0.10949185052296856,0.1819408368680714,2.090695286814176,0.0
1.2272426757388106,0.022484571466776668,1.292908016962192,1.9371599893550249,0.0
2.544335291631951,0.008944153947125081,0.9429667789999538,0.720754918748916,0.0
1.9961293913430465,0.10894693574596927,1.4647455606720474,1.408248177469393,0.0
2.162114559758535,0.04539399661511282,0.19518505384045565,1.6786263378924389,0.0
2.5108579105838276,0.01951630449102573,1.5293862652953878,-0.9482780329767049,0.0
2.5534391059621555,0.03936053184190845,0.9137144119184186,0.5414327232303155,0.0
2.577749879716409,0.14047243204653115,0.9942672526159152,1.873720474255574,0.0
1.7390515919095282,0.06326124049285722,0.16052099494879396,2.077148929785043,0.0
2.3976387411222744,0.04738953115050766,1.1057241275121812,0.9901171397523192,0.0
1.5479128426253808,0.027493048684475836,1.2445872532621278,1.529088485514753,0.0
1.0719271967411141,0.029072508063093458,1.3903639304473046,2.1093131301617163,0.0
2.3535714225474376,0.08970851018857808,0.7213901713035643,1.5317923450913584,0.0
2.5414939892218276,0.06590088073528445,0.08982573764366393,1.2248075441325756,0.0
1.6960618985399298,0.018710653840841605,0.3956618061310542,2.016225325995122,0.0
2.04930669668945,0.02022833985589276,0.7592483337289211,1.3179688693063594,0.0
2.452461448244694,0.007887906097732472,0.552585963225116,1.1652342386142136,0.0
1.4134654208268373,0.03659741824465167,0.38652781225563093,2.1721269909436653,0.0
1.573670351319076,0.008881890506657218,0.8228048787675513,1.9317730483916034,0.0
2.1403806748496264,0.07365459939392434,0.3791662082599146,1.6815404925701318,0.0
2.0733789565845773,0.011066172229681972,0.9313726633695942,1.2526386201684803,0.0
2.1028512213137542,0.13015176505657008,0.5299471938037615,2.069127084833691,0.0
1.8928150421808316,0.02458220172809963,0.16760826617594843,1.6722513295750998,0.0
1.2830090532517293,0.04923604258187999,1.2605936356653438,2.129922925430768,0.0
1.0711623347727797,0.010881700967820408,1.3928922025025021,2.09479922157397,0.0
1.9895603745268475,0.020825276499574327,0.6388365568376182,1.3351079244127475,0.0
1.467988485858579,0.025863273735652097,0.7891351337535454,1.8519066837179992,0.0
2.3922423185965394,0.07428758842181632,0.6628886301126404,1.304490655989834,0.0
1.5612291309188087,0.03977524591659298,1.1158850334377772,1.4856383667560022,0.0
1.3192656385310186,0.009757702745877376,1.167581524345375,1.9112515846591007,0.0
1.0706348336832412,0.020952543112800665,1.1100656255997157,2.081368023759058,0.0
1.4870349251890287,0.010075513514704225,1.3954633605870141,1.4162950745758973,0.0
1.6485090706173784,0.011491693379172559,1.2784080546629888,1.3481791111773713,0.0
1.6078425346624843,0.007775404351296296,0.05119981669830971,1.8758513450526024,0.0
1.5684011067977441,0.02192158977883431,0.5950872207878671,1.7438038440401833,0.0
2.169627974827815,0.015443141917363372,0.9118138772920081,0.9058474852643394,0.0
2.2718078982733196,0.009396699872254572,1.2205667185029097,0.3566939079389915,0.0
1.4581246902397724,0.025085427785356617,0.83178349397738,1.7446823864727161,0.0
1.5753893682336653,0.07633041529096173,0.17798957185910208,1.9683491142361422,0.0
1.8808795523887278,0.0661193477074411,0.21564239324362677,1.6888119509228567,0.0
1.5192498867667845,0.03476016689147971,0.43107167426797455,1.8230512784173172,0.0
2.337822476151613,0.1183173700102962,0.21174510864838358,1.4367755396604056,0.0
1.9222039558926898,0.04887502522439905,0.9065977412401347,1.466124862222773,0.0
2.2300838276493207,0.05197954675041144,1.1034274824586865,0.9847226537337885,0.0
2.1619664332037067,0.02580422926636294,1.2847195892112326,0.027812873587148346,0.0
1.730984406294965,0.11143698887093197,0.30798467893949594,1.97248141104735,0.0
2.3973624133107503,0.015148258520896931,0.08157462565412489,1.05832396298252,0.0
1.9260759577810935,0.015481553138655475,1.1926886542481019,0.7933227204201296,0.0
2.3629004284176887,0.028421128830568375,0.19613470223206747,1.08035526493995,0.0
2.5310701290215176,0.08103168922139617,1.3798714405560706,0.12697414775589966,0.0
1.5067735298862623,0.11406683350405235,1.2175108674119222,1.9850619258076758,0.0
2.4789945605028176,0.037057481785002816,0.8249766631485225,0.2995921814216085,0.0
1.3846516667464366,0.15253887868649282,0.11939196327434538,2.1712643612491984,0.0
1.9528109275980665,0.048049675117829045,0.34421456263299804,1.5612846868142074,0.0
1.749084224591859,0.041644674644882904,0.48141553056042613,1.6077296366177225,0.0
1.6668308852764644,0.09900173127617197,1.0607132483579875,1.749096925918935,0.0
1.8673079758430466,0.03132869372101863,0.1526862274139239,1.4881370339390099,0.0
1.9075816229300517,0.07146956432679465,0.177650711145371,1.5620431535794168,0.0
1.345601813324536,0.00808446077728298,0.3196945842858931,2.056965886997965,0.0
1.574806752389989,0.021182140091811675,0.764040848041935,1.5068522721986541,0.0
1.5183157000896175,0.04657117971006236,1.255542264393792,1.553712784565171,0.0
1.756289522279981,0.12065955710077247,0.9898239275109421,1.903035893511725,0.0
1.148078270198071,0.019827860476088307,0.4765132732923146,2.160292572704269,0.0
1.713627120587415,0.036948401512781975,0.19290893104106743,1.6025157617066488,0.0
1.9110819833140853,0.017064044262947137,1.360088812111747,0.3494760667192618,0.0
2.595727164076908,0.19807202275786345,0.1875857777942599,1.4156811789015942,0.0
2.3730941947876123,0.018460701082358127,0.5291510976658076,0.8755442441652419,0.0
1.5524823437042097,0.007704079284990755,1.4309494972976349,1.0236546125628827,0.0
1.9987385805929858,0.058622838845051276,1.1068656635570695,1.2354252183749646,0.0
2.5057790478087787,0.18530490043744594,0.08935975398064584,1.1283675288339499,0.0
1.8730623358016036,0.09360448475976418,0.8272769584880196,1.562945185604848,0.0
1.84721359917899,0.1169590707232719,0.5399877599678006,1.8467109237057953,0.0
1.940490243514943,0.012371878135452919,0.5531240301311552,1.329052105162241,0.0
1.9446814413918685,0.15974327397970844,1.249061464510359,2.1209444038387932,0.0
1.4700329063340742,0.02480732351884246,0.07526200726509659,1.789745223982555,0.0
1.4597898754726577,0.01320611033391151,0.890382675437324,1.6407738069337054,0.0
1.7093862374598943,0.01157654615923867,0.3529664664230637,1.6404485218334872,0.0
2.5224902704893672,0.011013289480812942,0.5535794037949551,0.6682851111218495,0.0
2.458503930497688,0.14812412153166418,1.069737127232307,1.5392049548909292,0.0
2.591414364601283,0.009034292711460699,1.3105034604726324,-0.9503455483645338,0.0
2.1665083929967524,0.0161509291546496,1.4436456498764902,-0.5368692854762736,0.0
1.0387297525954904,0.02695191971839504,1.4308130065501616,1.6084291811321432,0.0
1.119917507958715,0.051903958680969906,1.388853481791098,1.9276424236088703,0.0
0.8904852900297642,0.007732615928516599,1.2530648731445424,2.0472937052711053,0.0
1.8588419861770058,0.0116156984197414,1.1388892862988722,0.831744602449862,0.0
1.5881339250858175,0.25218239731364744,0.18322147925546922,2.069480841606434,0.0
1.5740055335794962,0.01877350369836265,0.1662357495705687,1.6185529426366725,0.0
2.14465006940382,0.018617988579435054,0.1494057881286494,1.0670718454177006,0.0
2.0927494266697697,0.011281635003386182,0.9759600969585627,0.6811703760488581,0.0
1.5761026313379318,0.013690060629276439,0.7342326766496824,1.4959160065349613,0.0
2.243232060640883,0.15598637416698558,1.4993389298461217,1.5741239054948433,0.0
2.1536529674303218,0.01976655049765944,1.2968541305030323,-0.3108056507319794,0.0
1.785963946182109,0.04116919514194509,0.9048049528468708,1.0385041937015003,0.0
1.7997318501347026,0.010026079942244335,0.3337764166959241,1.3997965896372881,0.0
2.2994544332778224,0.009868329100682511,0.9464640083341325,0.3740041451049292,0.0
1.0492926377050964,0.00915027112845423,0.21832819325324343,2.102389272797751,0.0
2.027557831188197,0.09842294985337019,0.3421912721404545,1.3689905548239727,0.0
2.0127398350845445,0.015515983620437693,1.0002434382651801,0.5736984862429297,0.0
2.5796199372544266,0.06780176816669942,1.4418540183027624,-0.35151148514792463,0.0
1.659510533374125,0.25555964854222685,0.14101908207686858,1.868611112661605,0.0
1.292872391009595,0.01286008830595251,1.234546993383883,1.3935221067531312,0.0
1.4954221402750045,0.39502413848332163,0.050581998925413665,1.7857985563646261,0.0
1.0120399878524833,0.049268396730373476,0.7539582935881294,2.1275124899496793,0.0
2.3729235282772208,0.013547613593652736,1.4785922897375445,-1.196342988203536,0.0
